Przygody Robin Hooda;The Adventures of Robin Hood;1938;William Keighley,Michael Curtiz;Przygodowy,Romans;USA;Errol Flynn,Olivia de Havilland,Claude Rains
Zagubiony horyzont;Lost Horizon;1937;Frank Capra;Dramat,Fantasy,Przygodowy;USA;Ronald Colman,Thomas Mitchell
Jezebel - dzieje grzesznicy;Jezebel;1938;William Wyler;Kostiumowy,Melodramat;USA;Bette Davis,Henry Fonda
Zielona dolina;How Green Was My Valley;1941;John Ford;Dramat,Romans;USA;Walter Pidgeon,Maureen O'Hara
Lady Hamilton;That Hamilton Woman;1941;Alexander Korda;Historyczny,Melodramat;Wielka Brytania;Vivien Leigh,Laurence Olivier,Gladys Cooper
List;The letter;1940;William Wyler;Film-Noir;USA;Bette Davis,Herbert Marshall,James Stephenson
Mroczne zwycięstwo;Dark Victory;1939;Edmund Goulding;Melodramat;USA;Bette Davis,Humphrey Bogart,Geraldine Fitzgerald,George Brent
Starsza pani znika;The Lady Vanishes;1938;Alfred Hitchcock;Thriller,Szpiegowski;Wielka Brytania;Margaret Lockwood,Michael Redgrave
Skłóceni z życiem;The Misfits;1961;John Huston;Dramat;USA;Clark Gable,Montgomery Clift,Marilyn Monroe
Saboteż;Saboteur;1942;Alfred Hitchcock;Thriller,Romans;USA;Priscilla Lane,Robert Cummings,Otto Kruger
Małe liski;The Little Foxes;1941;William Wyler;Melodramat;USA;Bette Davis,Teresa Wright
Duma Jankesów;The Pride of the Yankees;1942;Sam Wood;Biograficzny,Dramat,Sportowy;USA;Virginia Gilmore,Teresa Wright,Gary Cooper
Głosy miasta;The Talk of the Town;1942;George Stevens;Dramat,Komedia,Romans;USA;Cary Grant,Jean Arthur,Ronald Colman
Pan Smith jedzie do Waszyngtonu;Mr. Smith Goes to Washington;1939;Frank Capra;Dramat,Komedia,Polityczny;USA;James Stewart,Claude Rains,Jean Arthur
Pani Miniver;Mrs. Miniver;1942;William Wyler;Melodramat,Obyczajowy,Propagandowy;USA;Teresa Wright,Walter Pidgeon,Greer Garson
Cieszmy się życiem;You Can't Take It with You;1938;Frank Capra;Komedia,Romans;USA;James Stewart,Lionel Barrymore,Jean Arthur
Naga prawda;The Awful truth;1937;Leo McCarey;Komedia,Romans;USA;Cary Grant,Ralph Bellamy,Irene Dunne
Miłość po południu;Love in the Afternoon;1957;Billy Wilder;Komedia romantyczna;USA;Gary Cooper,Audrey Hepburn,Maurice Chevalier
Nagie miasto;The Naked City;1948;Jules Dassin;Dramat,Film-Noir;USA;Barry Fitzgerald,Dorothy Hart
Modelka;Cover girl;1944;Charles Vidor;Komedia,Musical,Romans;USA;Rita Hayworth,Gene Kelly,Otto Kruger,Eve Arden
Butch Cassidy i Sundance Kid;Butch Cassidy and the Sundance Kid;1969;George Roy Hill;Western;USA;Paul Newman,obert Redford,Katharine Ross
Skrzydła;Wings;1927;William A. Wellman,Harry d'Abbadie d'Arrast;Melodramat,Wojenny,Akcja,Niemy;USA;Gary Cooper,Charles "Buddy" Rogers,Clara Bow
Czerwone trzewiki;The Red Shoes;1948;Emeric Pressburger,Michael Powell;Melodramat,Muzyczny;Wielka Brytania;Anton Walbrook,Austin Trevor
Co się zdarzyło baby Jane?;What ever happended to baby Jane?;1962;Robert Aldrich;Dramat,Thriller;USA;Bette Davis, Joan Crowford
Mildred Pierce;Mildred Pierce;1945;Michael Curtiz;Melodramat,Film Noir;USA;Joan Crawford,Jack Carson,Eve Arden,Ann Blyth
Ostrze brzytwy;The Razor's Edge;1946;Edmund Goulding;Dramat;USA;Tyrone Power,Gene Tierney,Herbert Marshall,Anne Baxter
Stracony weekend;The Lost Weekend;1945;Billy Wilder;Dramat;USA;Ray Milland,Phillip Terry,Jane Wyman
Czarny narcyz;Black Narcissus;1947;Michael Powell,Emeric Pressburger;Dramat;Wielka Brytania;David Farrar,Deborah Kerr
Roczniak;The Yearling;1946;Clarence Brown;Dramat,Familijny;USA;Gregory Peck,Jane Wyman,Henry Travers
Zostaw ją niebiosom;Leave Her to Heaven;1945;John M. Stahl;Melodramat,Thriller,Film-Noir;USA;Gene Tierney,Vincent Price,Jeanne Crain
Portret Jennie;Portrait of Jennie;1948;William Dieterle;Dramat,Fantasy,Romans;USA;Jennifer Jones,Joseph Cotten
Żona biskupa;The Bishop's Wife;1947;Henry Koster;Dramat,Fantasy,Komedia;USA;Cary Grant,Loretta Young
Listonosz zawsze dzwoni dwa razy;The Postman Always Rings Twice;1946;Tay Garnett;Dramat,Kryminał,Film-Noir;USA;Lana Turner,John Garfield,Hume Cronyn
Po wielkiej burzy;The search;1948;Fred Zinnemann;Dramat,Wojenny;Szwajcaria,USA;Montgomery Clift
Komu bije dzwon;For Whom the Bell Tolls;1943;Sam Wood;Melodramat,Wojenny;USA;Gary Cooper,Ingrid Bergman
As w potrzasku;Ace in the hole;1951;Billy Wilder;Film-Noir,Dramat;USA;Kirk Douglas,Jan Sterling
Piękny i zły;Bad and the beautiful;1952;Vincente Minnelli;Melodramat;USA;Kirk Douglas,Walter Pidgeon,Lana Turner
Dziedziczka;The Heiress;1949;William Wyler;Melodramat;USA;Olivia de Havilland,Montgomery Clift
Najlepsze lata naszego życia;The Best Years of Our Lives;1946;William Wyler;Melodramat,Wojenny;USA;Myrna Loy,Dana Andrews,Fredric March,Teresa Wright,Harold Russell
Przylądek strachu;Cape Fear;1962;J. Lee Thompson;Dramat,Thriller,Film-Noir;USA;Gregory Peck,Robert Mitchum,Polly Bergen
List do trzech żon;A Letter to Three Wives;1949;Joseph L. Mankiewicz;Komedia obycz.;USA;Kirk Douglas,Jeanne Crain,Linda Darnell,Ann Sothern
Ninoczka;Ninotchka;1939;Ernst Lubitsch;Komedia romantyczna,Szpiegowski;USA;Greta Garbo,Ina Claire,Melvyn Douglas,Bela Lugosi
Guwernantka;All This, and Heaven Too;1940;Anatole Litvak;Melodramat;USA;Bette Davis,Charles Boyer,Barbara O'Neil
Siedlisko węży;The Snake Pit;1948;Anatole Litvak;Dramat;USA;Olivia de Havilland
Wesoły sublokator;The More the Merrier;1943;George Stevens;Komedia,Romans;USA;Jean Arthur,Charles Coburn,Joel McCrea
Osobne stoliki;Separate tables;1958;Delbert Mann;Dramat obyczajowy;USA;David Niven,Rita Hayworth,Burt Lancaster,Deborah Kerr,Wendy Hiller,Rod Taylor,Gladys Cooper
